X,Y,ADDRTYPE,FATALITIES,INATTENTIONIND,INCDATE,YEAR,INJURIES,LIGHTCOND,PEDCOUNT,PEDCYLCOUNT,PEDROWNOTGRNT,PERSONCOUNT,ROADCOND,SERIOUSINJURIES,SEVERITYCODE,SEVERITYDESC,SPEEDING,UNDERINFL,VEHCOUNT,WEATHER,PEDORBIKECOUNT
-122.3119162,47.66642828,Intersection,0,,2013/03/07 00:00:00+00,2013,1,Unknown,1,0,Y,2,Unknown,0,2,Injury Collision,,N,1,Unknown,1
-122.3207624,47.61296336,Intersection,0,,2022/12/14 00:00:00+00,2022,1,Daylight,0,1,,2,Dry,1,2b,Serious Injury Collision,,N,1,Clear,1
-122.331331,47.59241813,Block,0,,2021/08/13 00:00:00+00,2021,1,Daylight,0,1,,2,Dry,0,2,Injury Collision,,N,1,Fog/Smog/Smoke,1
-122.3417749,47.61526498,Intersection,0,,2005/08/24 00:00:00+00,2005,1,Daylight,1,0,,2,Dry,0,2,Injury Collision,,0,1,Clear,1
-122.3317981,47.60655275,Intersection,0,,2020/11/12 00:00:00+00,2020,1,Dark - No Street Lights,1,0,,2,Wet,0,2,Injury Collision,,N,1,Raining,1
-122.3258791,47.64562378,Intersection,0,,2021/08/19 00:00:00+00,2021,0,Daylight,0,1,Y,2,Dry,0,1,Property Damage Only Collision,,N,1,Clear,1
-122.327361,47.60840868,Intersection,0,,2020/12/17 00:00:00+00,2020,1,Daylight,1,0,Y,2,Dry,0,2,Injury Collision,,N,1,Clear,1
-122.3165789,47.66129196,Intersection,0,,2021/08/21 00:00:00+00,2021,1,Dark - Street Lights On,1,0,Y,2,Dry,0,2,Injury Collision,,N,1,Clear,1
-122.3267875,47.61634184,Intersection,0,,2013/03/30 00:00:00+00,2013,1,Dusk,0,1,Y,2,Dry,0,2,Injury Collision,,N,1,Clear,1
-122.3359758,47.60776318,Intersection,0,Y,2013/03/25 00:00:00+00,2013,1,Daylight,1,0,Y,2,Dry,1,2b,Serious Injury Collision,,N,1,Clear,1
-122.3142204,47.61389492,Intersection,0,,2021/06/21 00:00:00+00,2021,1,Dark - Street Lights On,1,0,,2,Dry,0,2,Injury Collision,,N,1,Clear,1
-122.3247397,47.58613801,Block,0,,2022/04/02 00:00:00+00,2022,1,Daylight,0,1,,2,Dry,0,2,Injury Collision,,N,1,Clear,1
-122.3242235,47.61169434,Intersection,0,,2022/07/28 00:00:00+00,2022,1,Dark - No Street Lights,0,1,,3,Dry,0,2,Injury Collision,,N,1,Clear,1
-122.3423723,47.65674569,Block,0,,2021/08/12 00:00:00+00,2021,0,Daylight,0,1,,2,Dry,0,1,Property Damage Only Collision,,N,1,Fog/Smog/Smoke,1
-122.334197,47.57170661,Intersection,0,,2021/08/18 00:00:00+00,2021,1,Daylight,1,0,,2,Dry,1,2b,Serious Injury Collision,,N,1,Clear,1
-122.3225825,47.53983222,Intersection,0,,2021/08/25 00:00:00+00,2021,1,Dark - Street Lights On,1,0,Y,2,Dry,1,2b,Serious Injury Collision,,N,1,Clear,1
